# Copyright 2008 Google Inc. All rights reserved.
# This file was machine-generated, do not edit.
# This file is encoded in UTF-8, do not reencode.
# ICU4J version 4.0.0.0
# Generated on 2008-10-01 12:41:27 with com.google.i18n.identifiers.impl.tools.BuildLanguageNameTables by dougfelt
x-bork;x-bork;Bork, bork, bork!
ht;az;haiti dili
wak;az;vakaşan dili
snk;az;soninke dili
hu;az;macarca
bho;az;bxoçpuri dili
xal;az;kalmıqca
mwl;az;mirand dili
hi;az;hindi dili
ho;az;hiri motu dili
war;az;varay dili
was;az;vaşo dili
id;az;indoneziya dili
ia;az;interlingua dili
ig;az;iqbo dili
ie;az;interlingue dili
hz;az;Herer dili
hy;az;Ermənicə
ady;az;aduge dili
smn;az;inari sami
ilo;az;iloko dili
is;az;isləndcə
it;az;italyanca
iu;az;inuktikut dili
smj;az;lule sami dili
ii;az;siçuan yi dili
ach;az;akoli dili
ik;az;inupiaq dili
sms;az;skolt dili
ace;az;akin dili
io;az;ido dili
ada;az;adangme dili
sma;az;cənub sami dili
smi;az;səmi dili
dyu;az;dyula dili
ja;az;yaponca
xh;az;xosa dili
pon;az;ponpeyan dili
lol;az;monqo dili
